id1,id2,id3,id4
157.240.16.20,172.17.45.115,783,72415,770,3602251,1553,3674666,0.407631000,6.9562
172.17.45.115,182.79.156.81,242,383509,267,32460,509,415969,0.678395000,7.0113
157.240.23.39,172.17.45.115,258,54135,244,465050,502,519185,0.000277000,7.8110
172.17.45.115,172.217.31.195,153,285825,140,13695,293,299520,2.136001000,5.0606
172.17.45.115,172.31.1.130,79,17579,79,6189,158,23768,0.000000000,7.7087
157.240.23.35,172.17.45.115,42,5211,35,14670,77,19881,0.678478000,1.7368
157.240.23.19,172.17.45.115,28,10343,25,9623,53,19966,5.142204000,1.4600
172.17.45.115,172.217.31.14,24,4042,14,1750,38,5792,0.678875000,7.1327
157.240.23.36,172.17.45.115,11,2148,11,5247,22,7395,5.047015000,0.4723
172.17.45.115,172.217.31.3,6,667,7,1239,13,1906,5.522168000,0.1541
117.18.237.29,172.17.45.115,6,1266,4,1848,10,3114,0.701620000,0.8608
172.17.45.115,172.217.161.2,3,291,3,350,6,641,7.171497000,0.1851
172.17.45.115,172.217.31.5,1,112,2,178,3,290,1.891544000,0.0134
172.17.45.115,216.58.196.200,1,112,2,178,3,290,7.313028000,0.0127
